,dataset,fold,ta_name,metric_error,metric_error_val,time_train_s,time_infer_s,method_subtype,n_samples_train_per_fold,n_features
53,anneal,0,PrepTabM,0.0209187772125005,0.0168115496635437,18441.06222319603,5.907305955886841,tuned_ensemble,599,38
54,diamonds,2,PrepTabM,516.3793029182915,524.1738248727862,2819.2351520061493,42.946616649627686,default,35960,9
55,diamonds,2,PrepTabM,512.5123901367188,514.284912109375,157846.23167824745,55.33642625808716,tuned,35960,9
56,diamonds,2,PrepTabM,509.6072692871094,508.3175048828125,157846.23167824745,429.2222468852997,tuned_ensemble,35960,9
57,diamonds,1,PrepTabM,513.0003574087963,525.136274237208,2681.11954498291,42.62168264389038,default,35960,9
58,diamonds,1,PrepTabM,504.3143005371094,516.5144653320312,158602.00005745888,47.32372260093689,tuned,35960,9
59,diamonds,1,PrepTabM,504.6363220214844,510.178955078125,158602.00005745888,319.3191785812378,tuned_ensemble,35960,9
60,diamonds,0,PrepTabM,528.92497400443,532.5806222866288,2592.6326384544373,42.836363077163696,default,35960,9
61,diamonds,0,PrepTabM,521.110107421875,521.5761108398438,156146.05189847946,50.622726917266846,tuned,35960,9
62,diamonds,0,PrepTabM,520.709716796875,515.927490234375,156146.05189847946,464.3984024524689,tuned_ensemble,35960,9
63,miami_housing,2,PrepTabM,83423.75224901669,84898.4437319359,1729.9260408878326,19.85941958427429,default,9184,15
64,miami_housing,2,PrepTabM,82010.14014756535,82667.81307516097,99777.44094061852,11.807180404663086,tuned,9184,15
65,miami_housing,2,PrepTabM,82463.8785888625,81888.97114439441,99777.44094061852,85.96835660934448,tuned_ensemble,9184,15
66,miami_housing,1,PrepTabM,81800.10211360632,85035.10013844159,1747.4972560405731,20.04865026473999,default,9184,15
67,miami_housing,1,PrepTabM,81057.64135374475,83955.1949288563,88862.8022904396,12.49655294418335,tuned,9184,15
68,miami_housing,1,PrepTabM,80664.68244924846,82935.86472132846,88862.8022904396,92.69711661338806,tuned_ensemble,9184,15
69,miami_housing,0,PrepTabM,83444.31046648089,84074.435792015,2166.1117129325867,23.224685192108154,default,9184,15
70,miami_housing,0,PrepTabM,82879.62328835086,82883.43940801713,99212.06532406808,12.559760570526125,tuned,9184,15
71,miami_housing,0,PrepTabM,82725.3787981192,82220.02129092049,99212.06532406808,165.67472314834595,tuned_ensemble,9184,15
72,Another-Dataset-on-used-Fiat-500,2,PrepTabM,758.4012994512035,728.6488476270589,37.0113525390625,1.6829288005828855,default,1026,7
73,Another-Dataset-on-used-Fiat-500,2,PrepTabM,764.458984375,714.8284301757812,2552.315293550492,2.2724597454071045,tuned,1026,7
74,Another-Dataset-on-used-Fiat-500,2,PrepTabM,759.2603149414062,703.8259887695312,2552.315293550492,14.93502426147461,tuned_ensemble,1026,7
75,Another-Dataset-on-used-Fiat-500,1,PrepTabM,727.1130777749715,731.3321636377407,23.86446714401245,1.3087546825408936,default,1026,7
76,Another-Dataset-on-used-Fiat-500,1,PrepTabM,727.7548217773438,719.4630737304688,1910.1473565101624,1.192117691040039,tuned,1026,7
77,Another-Dataset-on-used-Fiat-500,1,PrepTabM,722.4979858398438,709.6768188476562,1910.1473565101624,12.269539594650269,tuned_ensemble,1026,7
78,Another-Dataset-on-used-Fiat-500,0,PrepTabM,701.6020839402253,743.6670700621426,31.569944143295288,1.527209758758545,default,1026,7
